14
50
1
11,44,Northeast
211
0,0
0,2
0,3
0,5
0,8
0,9
0,12
0,14
0,26
0,27
0,28
0,34
1,2
1,9
1,12
1,16
1,17
1,19
1,20
1,24
1,39
1,45
1,49
2,0
2,6
2,12
2,13
2,14
2,17
2,24
2,25
2,28
2,30
2,33
2,34
2,38
2,40
2,41
2,42
2,44
2,45
3,4
3,5
3,7
3,8
3,10
3,11
3,17
3,18
3,19
3,20
3,21
3,22
3,33
3,34
3,39
3,43
3,46
3,47
3,48
4,2
4,6
4,8
4,9
4,10
4,11
4,12
4,13
4,16
4,18
4,19
4,20
4,21
4,39
4,41
4,42
4,44
4,45
4,46
4,47
4,48
4,49
4,50
5,0
5,4
5,5
5,6
5,8
5,9
5,12
5,14
5,15
5,17
5,19
5,29
5,30
5,31
5,32
5,33
5,34
5,35
5,38
5,40
5,41
6,1
6,49
7,0
7,2
7,5
7,12
7,13
7,15
7,17
7,19
7,20
7,21
7,36
7,40
7,45
7,47
8,0
8,1
8,9
8,11
8,13
8,16
8,18
8,23
8,26
8,27
8,28
8,41
8,42
9,0
9,1
9,5
9,6
9,7
9,8
9,10
9,12
9,14
9,15
9,17
9,32
9,33
9,42
10,0
10,1
10,5
10,6
10,7
10,8
10,11
10,17
10,18
10,20
10,21
10,22
10,23
10,33
10,34
10,41
10,44
10,46
11,0
11,6
11,7
11,20
11,28
11,29
11,30
11,31
11,32
11,33
11,39
11,40
12,0
12,1
12,2
12,3
12,7
12,8
12,11
12,14
12,18
12,23
12,24
12,25
12,27
12,28
12,29
12,31
12,32
12,41
12,45
12,47
13,0
13,1
13,2
13,3
13,4
13,12
13,13
13,14
13,16
13,17
13,18
13,19
13,20
13,23
